now,num,alpha_deg,Theta,K,K_file,g,omega,theta_0,surface_temp,gamma,dt,output_path,Completed
,10,30,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,10,0.1,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,260,0.24,100.0,,K/Day100_night3.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,260,0.41,100.0,,K/Day100_night3.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,260,0.96,100.0,,K/Day100_night3.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after/K_variable,
,260,0.24,100.0,,K/Day100_night3.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before/K_variable,
,260,0.24,100.0,,K/AllDay_100.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_before,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.24,100.0,,K/testdata/test_num10_2.nc,9.81,7.28e-05,288.0,SurfTempF_sin.nc,0.003,0.1,output/validation_dn_after,
,10,0.24,100.0,,K/testdata/num10_test1.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/validation_dn_after,
,10,0.96,100.0,,K/testdata/num10_test1.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/validation_dn_after,
,260,0.96,100.0,,K/test01.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v2,
,260,0.48,100.0,,K/test01.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v2,
,260,0.48,100.0,,K/test01.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v2,0
,260,0.41,100.0,,K/test01.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v2,
,260,0.24,100.0,,K/test01.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v2,
,260,0.24,100.0,,K/test01.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v2,
,260,0.48,100.0,,K/test01.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v2,
,260,0.96,100.0,,K/test01.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v2,
,260,0.24,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.48,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.96,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,30.0,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.24,100.0,,K/K_261.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v3,
,260,0.48,100.0,,K/K_261.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v3,
,260,0.41,100.0,,K/K_261.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v3,
,260,0.96,100.0,,K/K_261.nc,9.81,7.28e-05,288.0,surface_forcing/test_surface_forcing.nc,0.003,0.1,output/results_v3,
,260,0.6,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.72,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.36,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.12,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.84,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
